,Aoa,Mach,Time
0,-1.0,0.25,2.98
1,-1.0,0.44999998807907104,2.83
2,-3.0,0.44999998807907104,3.27
3,-3.0,0.6499999761581421,3.77
4,-4.0,0.25,3.24
5,-4.0,0.44999998807907104,3.68
6,-4.0,0.6499999761581421,3.74
7,-5.0,0.25,3.6
8,-5.0,0.44999998807907104,3.93
9,-5.0,0.6499999761581421,4.29
10,-6.0,0.25,4.12
11,-6.0,0.44999998807907104,4.37
12,-1.0,0.6499999761581421,2.68
13,-6.0,0.6499999761581421,4.91
14,-7.0,0.25,4.66
15,-7.0,0.44999998807907104,5.5
16,-7.0,0.6499999761581421,6.21
17,-8.0,0.25,5.52
18,-8.0,0.44999998807907104,6.87
19,-8.0,0.6499999761581421,7.54
20,-9.0,0.25,7.18
21,-9.0,0.44999998807907104,10.4
22,-9.0,0.6499999761581421,13.9
23,-10.0,0.25,12.33
24,0.0,0.25,2.64
25,0.0,0.44999998807907104,2.97
26,0.0,0.6499999761581421,2.99
27,1.0,0.25,2.67
28,1.0,0.44999998807907104,2.8
29,1.0,0.6499999761581421,3.2
30,10.0,0.25,4.71
31,10.0,0.44999998807907104,4.98
32,10.0,0.6499999761581421,5.16
33,2.0,0.25,2.83
34,-10.0,0.44999998807907104,20.67
35,2.0,0.44999998807907104,3.27
36,2.0,0.6499999761581421,3.42
37,3.0,0.25,3.18
38,3.0,0.44999998807907104,3.53
39,3.0,0.6499999761581421,3.7
40,4.0,0.25,3.34
41,4.0,0.44999998807907104,3.6
42,4.0,0.6499999761581421,3.99
43,5.0,0.25,3.5
44,5.0,0.44999998807907104,3.88
45,-10.0,0.6499999761581421,28.57
46,5.0,0.6499999761581421,4.27
47,6.0,0.25,3.99
48,6.0,0.44999998807907104,4.21
49,6.0,0.6499999761581421,4.44
50,7.0,0.25,4.04
51,7.0,0.44999998807907104,4.33
52,7.0,0.6499999761581421,4.7
53,8.0,0.25,4.22
54,8.0,0.44999998807907104,4.56
55,8.0,0.6499999761581421,4.89
56,-2.0,0.25,2.57
57,9.0,0.25,4.45
58,9.0,0.44999998807907104,4.73
59,9.0,0.6499999761581421,5.07
60,-2.0,0.44999998807907104,2.67
61,-2.0,0.6499999761581421,2.57
62,-3.0,0.25,2.69
